,IE0005042456,IE000BI0GCN3,IE000T9EOCL3,IE00B0M62X26,IE00B14X4Q57,IE00B1XNHC34,IE00B3FH7618,IE00B3ZW0K18,IE00B52MJY50,IE00B52VJ196,IE00B5M4WH52,IE00B66F4759,IE00B9M6RS56,IE00BD8PGZ49,IE00BDFK1573,IE00BDZVH966,IE00BFNM3G45,IE00BGPP6697,IE00BH4G7D40,IE00BHZPJ015,IE00BHZPJ239,IE00BHZPJ452,IE00BHZPJ783,IE00BHZPJ908,IE00BLDGH553,IE00BMDFDY08,IE00BMG6Z448,IE00BYYHSM20,IE00BYZTVT56,IE00BZ173V67,IE00BZ1NCS44
56,4.821583302815755,4.821583302815755,4.821583302815755,4.821583302815755,4.821583302815755,4.821583302815755,4.821583302815755,4.821583302815755,4.821583302815755,4.821583302815755,4.821583302815755,4.821583302815755,4.821583302815755,4.821583302815755,4.821583302815755,4.821583302815755,4.821583302815755,4.821583302815755,4.821583302815755,4.821583302815755,4.821583302815755,4.821583302815755,4.821583302815755,4.821583302815755,4.821583302815755,4.821583302815755,4.821583302815755,4.821583302815755,4.821583302815755,4.821583302815755,4.821583302815755
57,4.814624977111817,4.814624977111817,4.814624977111817,4.814624977111817,4.814624977111817,4.814624977111817,4.814624977111817,4.814624977111817,4.814624977111817,4.814624977111817,4.814624977111817,4.814624977111817,4.814624977111817,4.814624977111817,4.814624977111817,4.814624977111817,4.814624977111817,4.814624977111817,4.814624977111817,4.814624977111817,4.814624977111817,4.814624977111817,4.814624977111817,4.814624977111817,4.814624977111817,4.814624977111817,4.814624977111817,4.814624977111817,4.814624977111817,4.814624977111817,4.814624977111817
58,4.8066499869028725,4.8066499869028725,4.8066499869028725,4.8066499869028725,4.8066499869028725,4.8066499869028725,4.8066499869028725,4.8066499869028725,4.8066499869028725,4.8066499869028725,4.8066499869028725,4.8066499869028725,4.8066499869028725,4.8066499869028725,4.8066499869028725,4.8066499869028725,4.8066499869028725,4.8066499869028725,4.8066499869028725,4.8066499869028725,4.8066499869028725,4.8066499869028725,4.8066499869028725,4.8066499869028725,4.8066499869028725,4.8066499869028725,4.8066499869028725,4.8066499869028725,4.8066499869028725,4.8066499869028725,4.8066499869028725
59,4.798474995295207,4.798474995295207,4.798474995295207,4.798474995295207,4.798474995295207,4.798474995295207,4.798474995295207,4.798474995295207,4.798474995295207,4.798474995295207,4.798474995295207,4.798474995295207,4.798474995295207,4.798474995295207,4.798474995295207,4.798474995295207,4.798474995295207,4.798474995295207,4.798474995295207,4.798474995295207,4.798474995295207,4.798474995295207,4.798474995295207,4.798474995295207,4.798474995295207,4.798474995295207,4.798474995295207,4.798474995295207,4.798474995295207,4.798474995295207,4.798474995295207
60,4.7866583347320555,4.7866583347320555,4.7866583347320555,4.7866583347320555,4.7866583347320555,4.7866583347320555,4.7866583347320555,4.7866583347320555,4.7866583347320555,4.7866583347320555,4.7866583347320555,4.7866583347320555,4.7866583347320555,4.7866583347320555,4.7866583347320555,4.7866583347320555,4.7866583347320555,4.7866583347320555,4.7866583347320555,4.7866583347320555,4.7866583347320555,4.7866583347320555,4.7866583347320555,4.7866583347320555,4.7866583347320555,4.7866583347320555,4.7866583347320555,4.7866583347320555,4.7866583347320555,4.7866583347320555,4.7866583347320555
61,4.775866667429606,4.775866667429606,4.775866667429606,4.775866667429606,4.775866667429606,4.775866667429606,4.775866667429606,4.775866667429606,4.775866667429606,4.775866667429606,4.775866667429606,4.775866667429606,4.775866667429606,4.775866667429606,4.775866667429606,4.775866667429606,4.775866667429606,4.775866667429606,4.775866667429606,4.775866667429606,4.775866667429606,4.775866667429606,4.775866667429606,4.775866667429606,4.775866667429606,4.775866667429606,4.775866667429606,4.775866667429606,4.775866667429606,4.775866667429606,4.775866667429606
62,4.765341663360596,4.765341663360596,4.765341663360596,4.765341663360596,4.765341663360596,4.765341663360596,4.765341663360596,4.765341663360596,4.765341663360596,4.765341663360596,4.765341663360596,4.765341663360596,4.765341663360596,4.765341663360596,4.765341663360596,4.765341663360596,4.765341663360596,4.765341663360596,4.765341663360596,4.765341663360596,4.765341663360596,4.765341663360596,4.765341663360596,4.765341663360596,4.765341663360596,4.765341663360596,4.765341663360596,4.765341663360596,4.765341663360596,4.765341663360596,4.765341663360596
63,4.7519500096639,4.7519500096639,4.7519500096639,4.7519500096639,4.7519500096639,4.7519500096639,4.7519500096639,4.7519500096639,4.7519500096639,4.7519500096639,4.7519500096639,4.7519500096639,4.7519500096639,4.7519500096639,4.7519500096639,4.7519500096639,4.7519500096639,4.7519500096639,4.7519500096639,4.7519500096639,4.7519500096639,4.7519500096639,4.7519500096639,4.7519500096639,4.7519500096639,4.7519500096639,4.7519500096639,4.7519500096639,4.7519500096639,4.7519500096639,4.7519500096639
64,4.743300024668375,4.743300024668375,4.743300024668375,4.743300024668375,4.743300024668375,4.743300024668375,4.743300024668375,4.743300024668375,4.743300024668375,4.743300024668375,4.743300024668375,4.743300024668375,4.743300024668375,4.743300024668375,4.743300024668375,4.743300024668375,4.743300024668375,4.743300024668375,4.743300024668375,4.743300024668375,4.743300024668375,4.743300024668375,4.743300024668375,4.743300024668375,4.743300024668375,4.743300024668375,4.743300024668375,4.743300024668375,4.743300024668375,4.743300024668375,4.743300024668375
65,4.7350833733876545,4.7350833733876545,4.7350833733876545,4.7350833733876545,4.7350833733876545,4.7350833733876545,4.7350833733876545,4.7350833733876545,4.7350833733876545,4.7350833733876545,4.7350833733876545,4.7350833733876545,4.7350833733876545,4.7350833733876545,4.7350833733876545,4.7350833733876545,4.7350833733876545,4.7350833733876545,4.7350833733876545,4.7350833733876545,4.7350833733876545,4.7350833733876545,4.7350833733876545,4.7350833733876545,4.7350833733876545,4.7350833733876545,4.7350833733876545,4.7350833733876545,4.7350833733876545,4.7350833733876545,4.7350833733876545
